Sai kha ya her kisi kay bus ki bat nhi hai lakin main ki hal kal bi Aj aur aj bi sirf Aus say bus,Positive,
sahi bt h,Positive,
"Kya bt hai,",Positive,
Wah je wah,Positive,
Are wha kaya bat hai,Positive,
Wah kya baat likhi,Positive,
Wha Itni sari khubiya,Positive,
Itni khubiya,Positive,
Ya allah rehm farma hm sab pe or zalimo ko hidayat de ameen,Positive,
Please Everyone AllAh S.w.T ka naam hAmesha Bary Lawzo main Likha kary Wo he Zaat sUb say Bari Hey,Positive,
Ya mere rab tu bra kreem hy is mulk k halat PR reham frma. Is watn.e.Aziz ki hifazat frma.amin,Positive,
jaago Pakistani coom jaago ye humary nokar han humarey tex se inko tankha milti h or ye hum pakitani awam ko hi martey han jaago Pakistan key logo,Positive,
kia kia jae .kon sacha ha ALLAH JANY .PAK KESE BDL SAKTA HA I THINK 7 NSL TO ASE E GUZR JAIN GI BD ME koi hua to pta ni,Positive,
afsos hota hai garip insan kha jay Allah ki lati me awaz hai jo zulum kry ga Allah ki lati pary gi,Positive,
Allah insaaf karey,Positive,
ALLAH MUSALMAN PHIR DOR E JAHALAT ME JARAHA H HIYADAY FARMA AESE LOGO KO JO AWAM KI ZINDGIYO KO AZAB BANA RAHY HAI INKO TO GARAK KARDY,Positive,
Je Thik Kaha Right,Positive,
jee ye to he,Positive,
Maa cheez e ASE ha jis ka koi namil Badl Ni,Positive,
Wah wah yeh toh hy,Positive,
jee ye to he,Positive,
Zenda bad yar,Positive,
Es leay Muskurany ki koshish kia karo Es se wo loug ju apk Rouny pr muskuraty hain wo Loug phir apki hansi pe jalyn gy.,Positive,
Wha bhut qoob,Positive,
"right
Or sada time same nahi rehtaaaaaa",Positive,
Wha wha kaya bat hai,Positive,
Bohat khoob so true Alhamdulillah,Positive,
dil me khud aaka ho nala jm hai akbaal sjdo me pde rahna rahne se jnnat nahi milee yhi likha hai bahi,Positive,
Sjdo me bhi wo hi pda he jis k dil me khuda ka Dr he .,Positive,
Beshaq haq baat hai,Positive,
Right ha but bar bar ak hi insan q berdash karea yr ye sub batamize kerne wala bhi to samjhea,Positive,
Right mara jasa masom log,Positive,
MashaAllah.,Positive,
Mubarak,Positive,
Ma hun Hero tara <3,Positive,
Feel kar speed bot ki <3,Positive,
"Isy Kahty han hop hip hop <3

:* Powered By :* Abraham Tamim :*",Positive,
Great Aadmi Aadmi,Positive,
In England Attaullah Esakhelvi married with a Pakistani ethnography British lady,Positive,
He has one son with her,Positive,
"He got second marriage with Bazgha, she is famous manuscript actress and they have only daughter named Laraib and only son named Sanwal",Positive,
He received honorable award from the Government of Pakistan and Life time achievement award from the queen of England,Positive,
He entered in Guinness book of World record for the singer of most recorded albums,Positive,
